,track_name,album,artist,release_year,track_data_concat,first_genre_assigned,energy,danceability,duration_ms,mode,spotify_url,artist_image,album_cover,position,period
0,"Principia (feat. Fabiana Cozza, Pastor Henrique Vieira & Pastoras do Rosário)",AmarElo,Emicida,2019,"Principia (feat. Fabiana Cozza, Pastor Henrique Vieira & Pastoras do Rosário)
Emicida
AmarElo
2019",afrofuturismo brasileiro,0.592,0.513,355867,1,https://open.spotify.com/track/1wTuMYmA3AJC7zKg6cuu19,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b273a4c3a6f5913f662897a388fa,1,long_term
1,Alumiô,Alumiô,Luiza Lian,2019,"Alumiô
Luiza Lian
Alumiô
2019",afrobeat brasileiro,0.654,0.71,204116,1,https://open.spotify.com/track/1wBZJA59toDn4TESZRPxs3,https://i.scdn.co/image/ab6761610000e5ebf4821ced87a99a129f3048ed,https://i.scdn.co/image/ab67616d0000b273204b3134c73fb38f7237611d,2,long_term
2,melhor sozinha :-)-:,melhor sozinha :-)-:,Luísa Sonza,2021,"melhor sozinha :-)-:
Luísa Sonza
melhor sozinha :-)-:
2021",funk carioca,0.299,0.65,227216,0,https://open.spotify.com/track/0gpZ8zy9OAE98nNBVIxWvi,https://i.scdn.co/image/ab6761610000e5eb0868e40af63067661b9d9e2f,https://i.scdn.co/image/ab67616d0000b2733bf35d9543186a44cf6c5c7a,3,long_term
3,Maracaia,Alegria Original,Timbalada,2006,"Maracaia
Timbalada
Alegria Original
2006",axe,0.687,0.654,243093,0,https://open.spotify.com/track/4cDBakzov3PwSl69bP3s3h,https://i.scdn.co/image/ab6761610000e5eb46b1768eee836c2ad096f0ed,https://i.scdn.co/image/ab67616d0000b273cc438bc7a2e224479b140407,4,long_term
4,Expresso Sudamericah,Dolores Dala Guardião do Alívio,Rico Dalasam,2021,"Expresso Sudamericah
Rico Dalasam
Dolores Dala Guardião do Alívio
2021",funk carioca,0.679,0.603,184227,0,https://open.spotify.com/track/2NZ4K2NAgH7Nqsh2hbcam3,https://i.scdn.co/image/ab6761610000e5eb1c158f22fb79ffd6a891fb18,https://i.scdn.co/image/ab67616d0000b2734f16120329252a2324a4b05e,5,long_term
5,EU TE AMO,MEMÓRIAS (de onde eu nunca fui),Lagum,2021,"EU TE AMO
Lagum
MEMÓRIAS (de onde eu nunca fui)
2021",belo horizonte indie,0.469,0.626,188541,1,https://open.spotify.com/track/4WbkVm4eW824meQyaf4qfv,https://i.scdn.co/image/ab6761610000e5eb3e88d7bb247be86ce78edb77,https://i.scdn.co/image/ab67616d0000b27351686d809de14a6d5b270eec,6,long_term
6,Detesto Despedidas,Coisas da Geração,Lagum,2019,"Detesto Despedidas
Lagum
Coisas da Geração
2019",belo horizonte indie,0.638,0.801,174721,1,https://open.spotify.com/track/4ow47hEGWz7eKykRH3npQP,https://i.scdn.co/image/ab6761610000e5eb3e88d7bb247be86ce78edb77,https://i.scdn.co/image/ab67616d0000b2734cedf031ee76c7fbd3f969ef,7,long_term
7,Água,Djavan,Djavan,1978,"Água
Djavan
Djavan
1978",bossa nova,0.6,0.414,219173,1,https://open.spotify.com/track/7j9SLvtP89AbYzVhsJVzHm,https://i.scdn.co/image/ab6761610000e5eb3f1dbad3d3615bdc0478ea88,https://i.scdn.co/image/ab67616d0000b273906b2e5d11cef03ba171dd18,8,long_term
8,"Cananéia, Iguape e Ilha Comprida",AmarElo,Emicida,2019,"Cananéia, Iguape e Ilha Comprida
Emicida
AmarElo
2019",afrofuturismo brasileiro,0.794,0.501,335600,1,https://open.spotify.com/track/3aXbjjFVHC86pSZey62vbS,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b273a4c3a6f5913f662897a388fa,9,long_term
9,Me Dê,Martins,Martins,2019,"Me Dê
Martins
Martins
2019",nova mpb,0.563,0.753,274284,0,https://open.spotify.com/track/71uNKEzoGW0t0BYs15GKtn,https://i.scdn.co/image/ab6761610000e5ebc3e5d00477e8eab2116c814d,https://i.scdn.co/image/ab67616d0000b273f2da5945e1e98ee0951dcb85,10,long_term
10,Manga,Manga,Mayra Andrade,2019,"Manga
Mayra Andrade
Manga
2019",afropop,0.533,0.718,170413,1,https://open.spotify.com/track/1Iod4fjYd6TTXw9DI6nHpB,https://i.scdn.co/image/ab6761610000e5eb1363702b40ba564dbf5d73f1,https://i.scdn.co/image/ab67616d0000b273c713da96e0d91dfb91b017b7,11,long_term
11,A Nível De...,Comissão De Frente,João Bosco,1982,"A Nível De...
João Bosco
Comissão De Frente
1982",bossa nova,0.741,0.632,220067,0,https://open.spotify.com/track/6XqBNBCqLypx0rubKLtkcC,https://i.scdn.co/image/ab6761610000e5ebe700714015500c6eb76fc63d,https://i.scdn.co/image/ab67616d0000b273062b05b99456b8a1166a3282,12,long_term
12,Quem Tem Um Amigo (Tem Tudo) (feat. Zeca Pagodinho & Tokyo Ska Paradise Orchestra),AmarElo,Emicida,2019,"Quem Tem Um Amigo (Tem Tudo) (feat. Zeca Pagodinho & Tokyo Ska Paradise Orchestra)
Emicida
AmarElo
2019",afrofuturismo brasileiro,0.938,0.811,249000,0,https://open.spotify.com/track/4yEBOuDHhrFeGXyXNJ3C4y,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b273a4c3a6f5913f662897a388fa,13,long_term
13,Love Proceeding,Talk Memory,BADBADNOTGOOD,2021,"Love Proceeding
BADBADNOTGOOD
Talk Memory
2021",alternative hip hop,0.584,0.318,325829,0,https://open.spotify.com/track/5F8XPD481L6K2s8h02Vxuo,https://i.scdn.co/image/ab6761610000e5eb61d28b161209f1ee239fdafa,https://i.scdn.co/image/ab67616d0000b2738953ebcbd40186343ae9be8b,14,long_term
14,A Ordem Natural das Coisas (feat. Mc Tha),AmarElo,Emicida,2019,"A Ordem Natural das Coisas (feat. Mc Tha)
Emicida
AmarElo
2019",afrofuturismo brasileiro,0.589,0.429,235867,1,https://open.spotify.com/track/7MK6sYlWniVj8D1mrAAIwb,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b273a4c3a6f5913f662897a388fa,15,long_term
15,DDGA,Dolores Dala Guardião do Alívio,Rico Dalasam,2021,"DDGA
Rico Dalasam
Dolores Dala Guardião do Alívio
2021",funk carioca,0.534,0.401,84173,1,https://open.spotify.com/track/1AKL1ojB0nHmfAPMhmCtla,https://i.scdn.co/image/ab6761610000e5eb1c158f22fb79ffd6a891fb18,https://i.scdn.co/image/ab67616d0000b2734f16120329252a2324a4b05e,16,long_term
