,track_name,album,artist,release_year,track_data_concat,first_genre_assigned,energy,danceability,duration_ms,mode,spotify_url,artist_image,album_cover,position,period
0,Manga,Manga,Mayra Andrade,2019,"Manga
Mayra Andrade
Manga
2019",afropop,0.533,0.718,170413,1,https://open.spotify.com/track/1Iod4fjYd6TTXw9DI6nHpB,https://i.scdn.co/image/ab6761610000e5eb1363702b40ba564dbf5d73f1,https://i.scdn.co/image/ab67616d0000b273c713da96e0d91dfb91b017b7,1,medium_term
1,Matilda,Harry's House,Harry Styles,2022,"Matilda
Harry Styles
Harry's House
2022",pop,0.386,0.507,245964,1,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,2,medium_term
2,Guia de um Amor Cego,Fim das Tentativas,Rico Dalasam,2022,"Guia de um Amor Cego
Rico Dalasam
Fim das Tentativas
2022",funk carioca,0.176,0.45,178333,0,https://open.spotify.com/track/4Xo05O1m4cTUzz6EuZtNXQ,https://i.scdn.co/image/ab6761610000e5eb1c158f22fb79ffd6a891fb18,https://i.scdn.co/image/ab67616d0000b2739f5c0117caef564df083a679,3,medium_term
3,ABC (feat. Sophia Black),ABC (feat. Sophia Black),Polyphia,2022,"ABC (feat. Sophia Black)
Polyphia
ABC (feat. Sophia Black)
2022",instrumental rock,0.75,0.681,152361,0,https://open.spotify.com/track/7D4lgMbSs10AQ0zX3ZldJc,https://i.scdn.co/image/ab6761610000e5ebdd353edbce04267bff979de6,https://i.scdn.co/image/ab67616d0000b27347cb006fe3d52d643c57e978,4,medium_term
4,Afeto,Manga,Mayra Andrade,2019,"Afeto
Mayra Andrade
Manga
2019",afropop,0.875,0.83,264413,0,https://open.spotify.com/track/6Y9ajxGefBUK9pMbT0C8gv,https://i.scdn.co/image/ab6761610000e5eb1363702b40ba564dbf5d73f1,https://i.scdn.co/image/ab67616d0000b273c713da96e0d91dfb91b017b7,5,medium_term
5,Go To Town,Amala,Doja Cat,2018,"Go To Town
Doja Cat
Amala
2018",dance pop,0.7,0.71,217813,1,https://open.spotify.com/track/6iOvnACn4ChlAw4lWUU4dd,https://i.scdn.co/image/ab6761610000e5eb727a2ac15afe659be999beba,https://i.scdn.co/image/ab67616d0000b273c42f6b7b41537a5fae06840a,6,medium_term
6,Late Night Talking,Harry's House,Harry Styles,2022,"Late Night Talking
Harry Styles
Harry's House
2022",pop,0.901,0.714,177955,1,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,7,medium_term
7,Minha Festa,Nelson Cavaquinho,Nelson Cavaquinho,1973,"Minha Festa
Nelson Cavaquinho
Nelson Cavaquinho
1973",bossa nova,0.928,0.527,143120,0,https://open.spotify.com/track/3WxzMN4tMdyPotUYolFRa3,https://i.scdn.co/image/ab67616d0000b2735ad9cb26071a154a467d49fa,https://i.scdn.co/image/ab67616d0000b2735ad9cb26071a154a467d49fa,8,medium_term
8,Abololô,Quem Sabe Isso Quer Dizer Amor,Maria Gadú,2021,"Abololô
Maria Gadú
Quem Sabe Isso Quer Dizer Amor
2021",mpb,0.137,0.744,119425,1,https://open.spotify.com/track/2rQkcoQkwIx8vt8HFbHIbG,https://i.scdn.co/image/ab6761610000e5eb2ac4d8d36593ae9d03393b1d,https://i.scdn.co/image/ab67616d0000b273d02d9b2a7f98a6ce56074043,9,medium_term
9,Te Amo Demais,"Decretos Reais, Vol.1",Marília Mendonça,2022,"Te Amo Demais
Marília Mendonça
Decretos Reais, Vol.1
2022",arrocha,0.687,0.713,205685,1,https://open.spotify.com/track/4xxeEWGQNFQ6qehlnev5LS,https://i.scdn.co/image/ab6761610000e5eb178a83212c7e82d1389cb76a,https://i.scdn.co/image/ab67616d0000b27333aa5241a4a528c0d1265e66,10,medium_term
