,track_name,album,artist,release_year,track_data_concat,first_genre_assigned,energy,danceability,duration_ms,mode,spotify_url,artist_image,album_cover,position,period
0,Washing Machine Heart,Be the Cowboy,Mitski,2018,"Washing Machine Heart
Mitski
Be the Cowboy
2018",brooklyn indie,0.567,0.613,128199,1,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,1,short_term
1,Me and My Husband,Be the Cowboy,Mitski,2018,"Me and My Husband
Mitski
Be the Cowboy
2018",brooklyn indie,0.77,0.497,137142,1,https://open.spotify.com/track/3pANfZVFdtuVnJsE6xa5Ox,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,2,short_term
2,Deus Cuida de Mim,Deus Cuida de Mim,Caetano Veloso,2022,"Deus Cuida de Mim
Caetano Veloso
Deus Cuida de Mim
2022",bossa nova,0.42,0.67,224486,1,https://open.spotify.com/track/1oA2BvYw6lWg4MxM4ALmyG,https://i.scdn.co/image/ab6761610000e5ebe98de50f36cf1aa4bf047757,https://i.scdn.co/image/ab67616d0000b273ae0f9afe001a868d92c80786,3,short_term
3,Nobody,Be the Cowboy,Mitski,2018,"Nobody
Mitski
Be the Cowboy
2018",brooklyn indie,0.487,0.398,193429,1,https://open.spotify.com/track/2P5yIMu2DNeMXTyOANKS6k,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,4,short_term
4,Playing God,Brand New Eyes,Paramore,2009,"Playing God
Paramore
Brand New Eyes
2009",candy pop,0.626,0.583,182800,0,https://open.spotify.com/track/7hInOqJnlEayXao08yVYAn,https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865,https://i.scdn.co/image/ab67616d0000b273e01d7d558032457b0e4883f6,5,short_term
5,Leão,Zodíaco,Xamã,2020,"Leão
Xamã
Zodíaco
2020",brazilian hip hop,0.284,0.685,195692,1,https://open.spotify.com/track/2J1ypgIAzXp75ekOrTtYkC,https://i.scdn.co/image/ab6761610000e5eb65753eefaef7b319fd102bfb,https://i.scdn.co/image/ab67616d0000b2731ad875ebbdd67f6bb50514b5,6,short_term
6,A Pearl,Be the Cowboy,Mitski,2018,"A Pearl
Mitski
Be the Cowboy
2018",brooklyn indie,0.221,0.295,156146,1,https://open.spotify.com/track/7fd3aMiuwHWKsTdZafjOfZ,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,7,short_term
7,Oya,Ainda Bem Que Eu Segui as Batidas do Meu Coração,Rael,2013,"Oya
Rael
Ainda Bem Que Eu Segui as Batidas do Meu Coração
2013",brazilian hip hop,0.707,0.663,283187,0,https://open.spotify.com/track/06onNxNKU1axuJwSMoVq3F,https://i.scdn.co/image/ab6761610000e5eb07ad487b4793d8c7929f8289,https://i.scdn.co/image/ab67616d0000b27307749f95d6bae48415715351,8,short_term
8,Francis Forever,Bury Me At Makeout Creek,Mitski,2014,"Francis Forever
Mitski
Bury Me At Makeout Creek
2014",brooklyn indie,0.32,0.535,149680,1,https://open.spotify.com/track/5411TEB6tlzvuF5A4oyldr,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273e90db8983ebd43b776694179,9,short_term
9,Still into You,Paramore,Paramore,2013,"Still into You
Paramore
Paramore
2013",candy pop,0.765,0.602,216013,1,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d,https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865,https://i.scdn.co/image/ab67616d0000b273532033d0d90736f661c13d35,10,short_term
10,First Love / Late Spring,Bury Me At Makeout Creek,Mitski,2014,"First Love / Late Spring
Mitski
Bury Me At Makeout Creek
2014",brooklyn indie,0.102,0.445,278640,1,https://open.spotify.com/track/3sslYZcFKtUvIEWN9lADgr,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273e90db8983ebd43b776694179,11,short_term
11,A Nível De...,Comissão De Frente,João Bosco,1982,"A Nível De...
João Bosco
Comissão De Frente
1982",bossa nova,0.741,0.632,220067,0,https://open.spotify.com/track/6XqBNBCqLypx0rubKLtkcC,https://i.scdn.co/image/ab6761610000e5ebe700714015500c6eb76fc63d,https://i.scdn.co/image/ab67616d0000b273062b05b99456b8a1166a3282,12,short_term
12,Fantasmas,Gado,Froid,2022,"Fantasmas
Froid
Gado
2022",brazilian hip hop,0.675,0.717,259712,0,https://open.spotify.com/track/71jsF4OHVO3PgAHrD2d9u5,https://i.scdn.co/image/ab6761610000e5eb45efb48b28392466e35f1056,https://i.scdn.co/image/ab67616d0000b273c9bcc09953df807a5c4303c3,13,short_term
13,melhor sozinha :-)-:,melhor sozinha :-)-:,Luísa Sonza,2021,"melhor sozinha :-)-:
Luísa Sonza
melhor sozinha :-)-:
2021",funk carioca,0.299,0.65,227216,0,https://open.spotify.com/track/0gpZ8zy9OAE98nNBVIxWvi,https://i.scdn.co/image/ab6761610000e5eb0868e40af63067661b9d9e2f,https://i.scdn.co/image/ab67616d0000b2733bf35d9543186a44cf6c5c7a,14,short_term
14,Lust For Life (with The Weeknd),Lust For Life,Lana Del Rey,2017,"Lust For Life (with The Weeknd)
Lana Del Rey
Lust For Life
2017",art pop,0.262,0.504,264066,0,https://open.spotify.com/track/0mt02gJ425Xjm7c3jYkOBn,https://i.scdn.co/image/ab6761610000e5ebc5903678d3db18e271e42be0,https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190,15,short_term
15,Coisas Dentro das Coisas,Pausa,5 a Seco,2019,"Coisas Dentro das Coisas
5 a Seco
Pausa
2019",nova mpb,0.486,0.391,180947,0,https://open.spotify.com/track/3Bnvv3wAKD7qftV4uHA8GG,https://i.scdn.co/image/ab6761610000e5ebf67c8f80d23604eb1eaa4b96,https://i.scdn.co/image/ab67616d0000b27306946ccfedf0408d1d282c10,16,short_term
16,enquanto recomeça,Roteiro pra Aïnouz (Vol. 2),Don L,2021,"enquanto recomeça
Don L
Roteiro pra Aïnouz (Vol. 2)
2021",brazilian hip hop,0.214,0.686,187504,0,https://open.spotify.com/track/0udrtBC4E19RBX33bdQPLo,https://i.scdn.co/image/ab6761610000e5ebfd2973d1223ebefb570f32f4,https://i.scdn.co/image/ab67616d0000b2730052784c6ce6f843c97fb724,17,short_term
